taxonomy_name,dataset_name,num_mapped_classes,num_other_classes,num_classes
franco2018rpg_tx001.ttl,franco2018rpg,2,0,2
franco2018rpg_tx002.ttl,franco2018rpg,2,0,2
franco2018rpg_tx003.ttl,franco2018rpg,6,0,6
franco2018rpg_tx004.ttl,franco2018rpg,2,0,2
franco2018rpg_tx005.ttl,franco2018rpg,0,2,2
freshbz2023_tx001.ttl,freshbz2023,5,0,5
freshbz2023_tx002.ttl,freshbz2023,3,0,3
freshbz2023_tx003.ttl,freshbz2023,4,0,4
freshbz2023_tx004.ttl,freshbz2023,4,0,4
freshbz2023_tx005.ttl,freshbz2023,6,0,6
freshbz2023_tx006.ttl,freshbz2023,4,0,4
freshbz2023_tx007.ttl,freshbz2023,4,0,4
freshbz2023_tx008.ttl,freshbz2023,3,0,3
freshbz2023_tx009.ttl,freshbz2023,2,0,2
freshbz2023_tx010.ttl,freshbz2023,6,0,6
freshbz2023_tx011.ttl,freshbz2023,5,0,5
freshbz2023_tx012.ttl,freshbz2023,4,0,4
freshbz2023_tx013.ttl,freshbz2023,11,0,11
freshbz2023_tx014.ttl,freshbz2023,4,0,4
freshbz2023_tx015.ttl,freshbz2023,5,0,5
fumagalli2022criminal-investigation_tx001.ttl,fumagalli2022criminal-investigation,8,0,8
g809-2015_tx001.ttl,g809-2015,3,0,3
g809-2015_tx002.ttl,g809-2015,7,0,7
g809-2015_tx003.ttl,g809-2015,2,0,2
g809-2015_tx004.ttl,g809-2015,2,0,2
g809-2015_tx005.ttl,g809-2015,2,0,2
g809-2015_tx006.ttl,g809-2015,2,0,2
garcia2022human-genome-events_tx001.ttl,garcia2022human-genome-events,7,0,7
garcia2022human-genome-events_tx002.ttl,garcia2022human-genome-events,0,5,5
gi2mo_tx001.ttl,gi2mo,3,0,3
gi2mo_tx002.ttl,gi2mo,0,3,3
gi2mo_tx003.ttl,gi2mo,0,4,4
gi2mo_tx004.ttl,gi2mo,5,0,5
gi2mo_tx005.ttl,gi2mo,10,0,10
gi2mo_tx006.ttl,gi2mo,19,0,19
gi2mo_tx007.ttl,gi2mo,3,0,3
gi2mo_tx008.ttl,gi2mo,3,0,3
gomes2022digital-technology_tx001.ttl,gomes2022digital-technology,11,0,11
gomes2022digital-technology_tx002.ttl,gomes2022digital-technology,2,0,2
gomes2022digital-technology_tx003.ttl,gomes2022digital-technology,2,0,2
goncalves2011ecg_tx001.ttl,goncalves2011ecg,2,0,2
goncalves2011ecg_tx002.ttl,goncalves2011ecg,11,0,11
